goTerm,Biological.function,Cluster.number,pvalue,size,Genes
GO:0051436,negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle ,Cluster_4,6.66E-07,28,BUB1B;UBE2D1;CDC20;PSMD8;PSMD9;CDC23;PSMD7;PSMD4;PSMD5;CDC26;PSMD2;CDC27;PSMD3;PSMD1;FBXO5;ANAPC7;UBE2E1;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;PSMA2;PSME3;PSME1;ANAPC4;PSME2;ANAPC5;UBA52;ANAPC1;PSMD10;PSMD12;ANAPC16;PSMD13;FBXO43;PSMB10;PSMA7;ANAPC10;PSMB6;FZR1;CCNB1;PSMB4;PSMB5;UBB;PSMB3;UBC;PSMB1;BUB3;RPS27A;UBE2C;PSMB8;PSMC5;PSMC3;PSMC4;PSMC1;CDC16;PSMC2;CDK2;CDK1;MAD2L1;ANAPC16;CDK2;PSMA2;PSMA4;PSMA5;PSMA6;PSMA7;PSMB1;PSMB10;PSMB3;PSMB4;PSMB5;PSMB6;PSMB8;PSMC2;PSMC3;PSMC4;PSMD10;PSMD13;PSMD3;PSMD4;PSMD8;PSME1;RPS27A;UBA52;UBB;UBC;UBE2C
GO:0051437,positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition ,Cluster_1,0.002865177,20,BUB1B;UBE2D1;CDC20;PSMD8;PSMD9;PSMD7;CDC23;PSMD4;PSMD5;CDC26;PSMD2;PSMD3;CDC27;PSMD1;FBXO5;BTRC;SKP1;ANAPC7;UBE2E1;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;PSMA2;PSME3;PSME4;PSME1;ANAPC4;PSME2;ANAPC5;UBA52;ANAPC1;PSMD10;PSMD12;ANAPC16;PSMD13;CUL1;PSMB10;PSMA7;ANAPC10;PSMA8;PSMB6;FZR1;CCNB1;PSMB4;PSMB5;UBB;PSMB3;UBC;PSMB1;BUB3;RPS27A;UBE2C;PLK1;PSMB8;PSMC5;PSMC3;PSMC4;PSMC1;PSMC2;CDC16;CDK1;MAD2L1;ANAPC5;ANAPC7;BUB1B;BUB3;CCNB1;CDC20;CDC23;CDK1;MAD2L1;PLK1;PSMA1;PSMA3;PSMC5;PSMD2;PSMD5;PSMD7;PSMD9;PSME2;PSME3;SKP1
GO:0051437,positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition ,Cluster_4,3.29E-06,28,BUB1B;UBE2D1;CDC20;PSMD8;PSMD9;PSMD7;CDC23;PSMD4;PSMD5;CDC26;PSMD2;PSMD3;CDC27;PSMD1;FBXO5;BTRC;SKP1;ANAPC7;UBE2E1;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;PSMA2;PSME3;PSME4;PSME1;ANAPC4;PSME2;ANAPC5;UBA52;ANAPC1;PSMD10;PSMD12;ANAPC16;PSMD13;CUL1;PSMB10;PSMA7;ANAPC10;PSMA8;PSMB6;FZR1;CCNB1;PSMB4;PSMB5;UBB;PSMB3;UBC;PSMB1;BUB3;RPS27A;UBE2C;PLK1;PSMB8;PSMC5;PSMC3;PSMC4;PSMC1;PSMC2;CDC16;CDK1;MAD2L1;ANAPC16;PSMA2;PSMA4;PSMA5;PSMA6;PSMA7;PSMA8;PSMB1;PSMB10;PSMB3;PSMB4;PSMB5;PSMB6;PSMB8;PSMC2;PSMC3;PSMC4;PSMD10;PSMD13;PSMD3;PSMD4;PSMD8;PSME1;RPS27A;UBA52;UBB;UBC;UBE2C
GO:0051439,regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle ,Cluster_1,0.003755865,19,BUB1B;UBE2D1;CDC20;PSMD8;PSMD9;PSMD7;CDC23;PSMD4;PSMD5;CDC26;PSMD2;PSMD3;CDC27;PSMD1;FBXO5;ANAPC7;UBE2E1;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;PSMA2;PSME3;PSME1;ANAPC4;PSME2;ANAPC5;UBA52;ANAPC1;PSMD10;PSMD12;ANAPC16;PSMD13;FBXO43;PSMB10;PSMA7;ANAPC10;PSMB6;FZR1;CCNB1;PSMB4;PSMB5;UBB;PSMB3;UBC;PSMB1;BUB3;RPS27A;UBE2C;PLK1;PSMB8;PSMC5;PSMC3;PSMC4;PSMC1;PSMC2;CDC16;CDK2;CDK1;MAD2L1;ANAPC5;ANAPC7;BUB1B;BUB3;CCNB1;CDC20;CDC23;CDK1;MAD2L1;PLK1;PSMA1;PSMA3;PSMC5;PSMD2;PSMD5;PSMD7;PSMD9;PSME2;PSME3
GO:0051439,regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle ,Cluster_4,1.01E-06,28,BUB1B;UBE2D1;CDC20;PSMD8;PSMD9;PSMD7;CDC23;PSMD4;PSMD5;CDC26;PSMD2;PSMD3;CDC27;PSMD1;FBXO5;ANAPC7;UBE2E1;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;PSMA2;PSME3;PSME1;ANAPC4;PSME2;ANAPC5;UBA52;ANAPC1;PSMD10;PSMD12;ANAPC16;PSMD13;FBXO43;PSMB10;PSMA7;ANAPC10;PSMB6;FZR1;CCNB1;PSMB4;PSMB5;UBB;PSMB3;UBC;PSMB1;BUB3;RPS27A;UBE2C;PLK1;PSMB8;PSMC5;PSMC3;PSMC4;PSMC1;PSMC2;CDC16;CDK2;CDK1;MAD2L1;ANAPC16;CDK2;PSMA2;PSMA4;PSMA5;PSMA6;PSMA7;PSMB1;PSMB10;PSMB3;PSMB4;PSMB5;PSMB6;PSMB8;PSMC2;PSMC3;PSMC4;PSMD10;PSMD13;PSMD3;PSMD4;PSMD8;PSME1;RPS27A;UBA52;UBB;UBC;UBE2C
GO:0051480,regulation of cytosolic calcium ion concentration ,Cluster_3,0.004017442,14,YWHAE;RYR1;RYR2;HMGB1;CXCL13;ADRA1B;SPPL3;SLC8A1;CYSLTR1;EDNRA;MB;PLCE1;BDKRB1;CCR7;CD36;CCR3;PDGFRA;TRPC5;EDN1;EDN2;TRPC1;F2R;TACR1;SLC35G1;F2;AGTR1;PTGER4;PTGFR;C5AR2;C5AR1;CHRNA9;FPR1;ITPR3;CLN3;TBXA2R;CDH23;ABL1;ABL2;TAC4;CHRNA10;DRD2;CD55;TRPM4;BCAP31;FIS1;SMAD3;CAV3;CAV1;ATP2B4;ATP2B1;SLC8B1;HCRTR2;HCRTR1;F2RL1;ABL1;C5AR2;CAV3;CCR3;CCR7;CHRNA10;DRD2;F2;F2RL1;RYR1;SLC8A1;TAC4;TACR1;TRPC5
GO:0051547,regulation of keratinocyte migration ,Cluster_8,0.007545604,3,FGF7;PTEN;ADAM9;EPPK1;ADAM9;EPPK1;PTEN
GO:0051571,positive regulation of histone H3-K4 methylation ,Cluster_1,0.008886946,5,SNW1;AUTS2;KMT2A;CTR9;MYB;DNMT3B;CTNNB1;WDR61;BRCA1;BRCA1;CTNNB1;MYB;SNW1;WDR61
GO:0051603,proteolysis involved in cellular protein catabolic process ,Cluster_4,3.52E-05,24,TINAGL1;CTSZ;CTSW;CTSV;PRPF19;SCPEP1;CTSL;CTSK;CAPN2;LONP1;CTSF;CTSC;CTSB;RNF41;DDB1;PSMA5;PSMA6;RNF123;PSMA3;PSMA4;PSMA1;PSMA2;CLPP;CHMP4C;YME1L1;CHMP4B;UBA52;VCP;VPS4B;HM13;VPS4A;NEDD8;OMA1;FBXO44;PSMB10;PSMA7;HDAC6;PSMA8;PSMB6;PSMB4;PSMB5;PSMB3;UBC;PSMB1;PMAIP1;RPS27A;CTSA;UBL4A;ATE1;ISG15;NR1D1;CHFR;PSMB8;MDM2;STUB1;CPVL;LGMN;CHFR;CLPP;FBXO44;ISG15;NEDD8;PSMA2;PSMA4;PSMA5;PSMA6;PSMA7;PSMA8;PSMB1;PSMB10;PSMB3;PSMB4;PSMB5;PSMB6;PSMB8;RNF41;RPS27A;STUB1;UBA52;UBC;UBL4A
GO:0051645,Golgi localization ,Cluster_1,0.008651841,4,CDC42;UVRAG;ARHGAP21;STK25;COPG1;ARCN1;ARCN1;CDC42;COPG1;STK25
GO:0051726,regulation of cell cycle ,Cluster_1,0.000337328,38,GMNN;TGM1;STK10;SLK;MAEA;RPS6KA2;CHEK1;EP300;NEK1;PIM3;FBXO5;PIM2;TRIM21;CDK5RAP3;MAP3K4;MEN1;TSPYL2;MAP2K3;MAP2K4;MAP2K2;METTL3;DAPK3;CDC25C;RUNX3;CDC25A;THAP1;THAP5;TNIK;PRR11;L3MBTL1;ANKRD17;CTBP1;STK39;HTRA2;IQGAP1;PKMYT1;STK4;STK3;SDCBP;CCNB2;CCNB1;BRINP1;TP53BP2;RPRD1B;MAP2K7;ZNF268;MAP2K5;ZBTB17;CDK19;AFAP1L2;TGFB2;JUND;TGFB1;GADD45A;NEK6;PLK1;NEK7;INHBA;ALOX15B;BMP7;CYLD;CDK8;BMP2;SON;CDK6;STK24;CCPG1;STK25;CDK4;ID2;C6ORF89;CDK1;CDK10;ID3;CALR;NF2;MAP3K14;BAP1;TP73;CDKN1B;PPP1R13B;PTPRK;FOXM1;CKS1B;TTC28;MECOM;CHMP1A;MYBL2;LIN52;PHACTR4;MINK1;RAD23A;OXSR1;MASTL;SIRT2;RHOB;RBL2;RNF167;RBL1;IRF1;CKS2;BIRC5;BIRC2;TP53I13;HPGD;UHRF2;LIN9;LRP6;RPS15A;RBBP4;PES1;PAK6;MAP4K5;PAK3;MAP4K3;MAP4K4;PAK4;MBD4;CDK11A;MX2;GBF1;STAT3;TBX3;HIPK2;CENPF;WEE1;TAOK3;TAOK2;PDCD4;TAF6;TARDBP;SIPA1;BAP1;CALR;CCNB1;CDK1;CDKN1B;CHEK1;CHMP1A;CKS2;CTBP1;GMNN;HPGD;HTRA2;ID3;MAEA;MAP2K2;MAP2K7;MASTL;MEN1;METTL3;MYBL2;PAK6;PDCD4;PES1;PKMYT1;PLK1;PRR11;RAD23A;RBBP4;RBL1;RBL2;RNF167;STK25;TBX3;TGM1;THAP1;THAP5;TRIM21;TSPYL2
GO:0051881,regulation of mitochondrial membrane potential ,Cluster_4,0.006151682,9,STOML2;VCP;PRELID1;PID1;ATPIF1;PYCR1;PARK7;SOD1;SLC25A27;PRDX3;PINK1;UBB;ARL6IP5;ABL1;AKT1;PMAIP1;BAX;NDUFS1;MAPT;SLC25A33;ATPIF1;BAX;PARK7;PRDX3;PRELID1;PYCR1;SOD1;STOML2;UBB
GO:0051893,regulation of focal adhesion assembly ,Cluster_3,0.002978894,8,NRP1;MACF1;BCAS3;LDB1;ROCK2;RCC2;DAPK3;PTEN;EFNA5;THBS1;PPM1F;RHOA;PTK2;SLC9A1;VEGFA;SLK;KDR;ABL1;ITGB1BP1;HRG;PHLDB2;LIMS1;ABL1;EFNA5;KDR;LIMS1;MACF1;NRP1;PTK2;VEGFA
GO:0051894,positive regulation of focal adhesion assembly ,Cluster_3,0.00043416,5,NRP1;KDR;ABL1;HRG;PPM1F;VEGFA;LIMS1;ABL1;KDR;LIMS1;NRP1;VEGFA
GO:0051899,membrane depolarization ,Cluster_5,0.009837474,6,CATSPER1;CATSPER3;CATSPER2;CAV1;ATPIF1;CACNA1E;TPCN2;TPCN1;P2RX7;CACNB3;P2RX4;SCN11A;SCN8A;ABL1;SCN4A;CACNG2;SCN3B;CACNG4;YWHAH;CACNG4;CATSPER3;P2RX7;SCN11A;SCN3B;SCN8A
GO:0051937,catecholamine transport ,Cluster_3,0.006391113,3,SLC22A3;SLC22A2;SLC22A1;SLC6A3;SLC22A1;SLC22A2;SLC22A3
GO:0051963,regulation of synapse assembly ,Cluster_6,0.002658906,5,NLGN3;ROBO2;NLGN1;BHLHB9;NLGN2;MUSK;CLSTN3;BDNF;NRXN1;CLSTN1;SRPX2;CUX2;IL1RAPL1;SYNDIG1;VPS35;EPHB1;SNCA;LRRC4B;EPHB1;IL1RAPL1;NLGN1;NRXN1;ROBO2
GO:0051965,positive regulation of synapse assembly ,Cluster_6,0.00149012,5,NLGN3;NLGN1;BHLHB9;NLGN2;CLSTN3;BDNF;NRXN1;CLSTN1;SRPX2;CUX2;IL1RAPL1;SYNDIG1;AGRN;EPHB1;VSTM5;LRRC4B;EPHB1;IL1RAPL1;NLGN1;NRXN1;VSTM5
GO:0051966,"regulation of synaptic transmission, glutamatergic ",Cluster_6,0.002271536,6,NLGN3;NLGN1;NLGN2;NRXN1;ATP1A2;GRIK1;GRM1;GRM3;CACNG7;GRM5;GRM4;RELN;GRM7;GRM8;PTK2B;DRD2;CACNG2;CACNG4;ATAD1;UNC13A;SYT1;CDK5;SHANK3;SHANK2;SHANK1;CACNG2;CACNG7;GRM1;GRM4;NLGN1;NRXN1
GO:0051968,"positive regulation of synaptic transmission, glutamatergic ",Cluster_6,0.00350575,4,NLGN3;CACNG7;NLGN1;NLGN2;RELN;NRXN1;PTK2B;CACNG2;SHANK3;CACNG4;SHANK2;SHANK1;CACNG2;CACNG7;NLGN1;NRXN1
GO:0051972,regulation of telomerase activity ,Cluster_1,0.001409311,12,HSP90AB1;TNKS;AURKB;SMG6;HMBOX1;MYC;MAPK1;NEK2;MAP2K7;MAP3K4;CCT4;MAPK3;MEN1;CCT2;ACD;HSP90AA1;XRCC5;PTGES3;NEK7;TERF1;KLF4;GRHL2;DKC1;TCP1;MAPKAPK5;NAF1;TP53;CERS1;WRAP53;AURKB;CCT2;CCT4;HSP90AA1;HSP90AB1;MAP2K7;MAPK1;MEN1;PTGES3;TP53;WRAP53;XRCC5
GO:0051973,positive regulation of telomerase activity ,Cluster_1,0.00648188,10,HSP90AB1;TNKS;AURKB;HMBOX1;MYC;MAPK1;NEK2;MAP2K7;MAP3K4;CCT4;MAPK3;CCT2;ACD;HSP90AA1;XRCC5;PTGES3;NEK7;KLF4;GRHL2;DKC1;TCP1;HNRNPA2B1;HNRNPD;MAPKAPK5;NAF1;WRAP53;AURKB;CCT2;CCT4;HSP90AA1;HSP90AB1;MAP2K7;MAPK1;PTGES3;WRAP53;XRCC5
GO:0051988,regulation of attachment of spindle microtubules to kinetochore ,Cluster_1,0.001124986,6,CDC42;CCNB1;RACGAP1;SPAG5;RCC2;NEK2;ECT2;KNSTRN;SIRT2;CCNB1;CDC42;KNSTRN;RACGAP1;RCC2;SPAG5
GO:0052548,regulation of endopeptidase activity ,Cluster_5,0.00070299,11,SERPINA11;CRB2;SERPINB10;SERPINA3;SERPINB11;SERPINA1;SERPINE2;SERPINC1;TIMP2;AKT1;TIMP3;TIMP1;TIMP4;SERPINB3;SERPINB4;SERPINB1;PRELID1;SERPINB2;SERPIND1;A2ML1;SERPINB8;SERPINB5;AGT;PSMB8;PSMA3;PSME3;HMSD;PSME1;PSME2;ATP13A2;SERPINI1;HRG;GAPDH;RECK;BIRC2;BIRC3;AGT;SERPINA1;SERPINA3;SERPINB10;SERPINB11;SERPINB2;SERPINB3;SERPINB4;SERPINC1;SERPINE2;TIMP1
GO:0055002,striated muscle cell development ,Cluster_5,0.001015224,5,TMOD1;TMOD4;TMOD2;LMOD1;CAPN3;MYOZ3;MYOZ2;SLC8A1;LMOD2;CAPN3;LMOD1;MYOZ2;TMOD1;TMOD2
GO:0055007,cardiac muscle cell differentiation ,Cluster_3,0.005477184,4,ACVR1;KDM6B;AKAP13;BMP2;CBY1;PROX2;SLC8A1;ACVR1;KDM6B;PROX2;SLC8A1
GO:0055008,cardiac muscle tissue morphogenesis ,Cluster_8,0.005208915,6,TGFB1;TNNC1;TPM1;MYOM2;SMAD7;TGFBR3;BMP2;ACTC1;TBX20;S1PR1;ANKRD1;PKP2;TCAP;ENG;ANKRD1;BMP2;PKP2;SMAD7;TGFBR3;TPM1
GO:0055010,ventricular cardiac muscle tissue morphogenesis ,Cluster_8,0.005208915,6,DSP;RYR2;TGFB2;TGFB1;TNNC1;TPM1;RBPJ;TGFBR1;SMAD7;DLL4;TGFBR3;PKP2;ENG;BMPR1A;DSP;PKP2;RYR2;SMAD7;TGFBR3;TPM1
GO:0055072,iron ion homeostasis ,Cluster_4,0.001347345,16,ATP6V1A;TFRC;ABCB6;ABCB7;HFE;CUL1;NEDD8;NUBP1;CAND1;HEPH;UBB;MYC;FTH1;UBC;FLVCR1;ATP6V0A2;HMOX1;RPS27A;B2M;HMOX2;SKP1;ATP6V1G1;SCARA5;ATP6AP1;CCDC115;SLC11A2;CYBRD1;CP;BMP6;SOD1;TMEM199;SLC25A37;TFR2;LCN2;ATP13A2;FBXL5;FXN;UBA52;ISCU;FTL;ATP6V1G1;B2M;CCDC115;CYBRD1;FTL;HMOX1;HMOX2;ISCU;NEDD8;NUBP1;RPS27A;SCARA5;SOD1;UBA52;UBB;UBC
GO:0055083,monovalent inorganic anion homeostasis ,Cluster_8,0.004905442,5,CA12;SLC12A2;SLC12A3;SFRP4;SLC12A4;SLC12A5;SLC12A6;FGFR4;SLC12A7;SLC12A8;FGFR4;SLC12A2;SLC12A4;SLC12A6;SLC12A7
GO:0055119,relaxation of cardiac muscle ,Cluster_3,0.00991215,4,CHGA;CAMK2D;RGS2;P2RX4;ATP1A2;ATP1A1;ATP1B1;SLC8A1;ATP1A2;CAMK2D;CHGA;SLC8A1
GO:0055123,digestive system development ,Cluster_2,0.005535171,4,NIPBL;CLMP;FOXF1;CHD8;GATA6;COBL;ITGA6;GATA2;COBL;GATA6;ITGA6;NIPBL
GO:0060071,"Wnt signaling pathway, planar cell polarity pathway ",Cluster_4,5.45E-08,32,CLTC;ARRB2;CELSR1;CELSR2;AP2A2;PSMD8;PSMD9;PSMD7;PSMD4;PSMD5;PSMD2;PSMD3;PSMD1;AP2M1;WNT5A;ARHGEF19;RHOA;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;DAAM1;PSMA2;PSME3;PSME4;PSME1;PSME2;ROR2;PFN1;UBA52;PSMD10;PSMD12;PSMD13;PRICKLE2;PSMB10;PSMA7;PSMA8;CDC42;PSMB6;PSMB4;PARD6A;PSMB5;UBB;PSMB3;DVL1;UBC;PSMB1;DVL2;AP2S1;DVL3;RPS27A;FZD1;FZD2;SMURF2;FZD5;RYK;SMURF1;FZD4;FZD6;PSMB8;VANGL1;PSMC5;PSMC3;PSMC4;PSMC1;PSMC2;AP2M1;AP2S1;ARRB2;PARD6A;PFN1;PSMA2;PSMA4;PSMA5;PSMA6;PSMA7;PSMA8;PSMB1;PSMB10;PSMB3;PSMB4;PSMB5;PSMB6;PSMB8;PSMC2;PSMC3;PSMC4;PSMD10;PSMD13;PSMD3;PSMD4;PSMD8;PSME1;RHOA;RPS27A;UBA52;UBB;UBC
GO:0060155,platelet dense granule organization ,Cluster_4,0.005116229,4,ABCA1;BLOC1S1;BLOC1S2;F2R;BLOC1S3;BLOC1S1;BLOC1S2;BLOC1S3;F2R
GO:0060236,regulation of mitotic spindle organization ,Cluster_1,0.008783643,10,GPSM2;NUMA1;DCTN1;VPS4B;CLTC;SMC3;GNAI1;CHMP1B;TPR;NUP62;CHMP1A;ANKRD53;FSD1;RAE1;DYNC1H1;PARP3;BORA;PLK1;SMC1A;CCSAP;TPX2;PSRC1;CHMP2B;CHMP4C;CHMP2A;CHMP4B;CHMP5;CCSAP;CHMP1A;CHMP1B;DCTN1;GPSM2;NUP62;PARP3;PLK1;TPX2;VPS4B
GO:0060284,regulation of cell development ,Cluster_2,0.009157989,4,YAP1;NOTCH2;AKAP13;RPS19;RHEB;DOCK7;CTNNB1;CLOCK;HOXA11;AKAP13;CLOCK;DOCK7;RHEB
GO:0060338,regulation of type I interferon-mediated signaling pathway ,Cluster_7,0.009864117,7,IFNAR2;PTPN1;HSP90AB1;WNT5A;NLRC5;MUL1;PTPN11;TYK2;USP18;CNOT7;CDC37;PTPN6;FADD;CACTIN;ABCE1;UBE2K;PTPN2;JAK1;IFNAR1;ABCE1;CACTIN;MUL1;NLRC5;PTPN11;TYK2;WNT5A
GO:0060341,regulation of cellular localization ,Cluster_3,0.000547447,10,CAMK2D;MCTP1;KDM1A;NUMA1;STXBP4;WWC1;LRP5;CPLX2;EFNA5;CPLX1;RIMS1;PARD6B;PARD6A;DVL1;KCNMB4;DVL3;LINC00598;EPHA5;DYNC1H1;CHRNB4;SPAG5;NR1D1;CSNK1E;SYN1;MAD1L1;CDK16;CAMK2D;CHRNB4;CPLX1;EFNA5;LINC00598;MAD1L1;MCTP1;NR1D1;PARD6B;WWC1
GO:0060394,negative regulation of pathway-restricted SMAD protein phosphorylation ,Cluster_8,0.001196105,4,STRAP;SMAD6;DKK1;PBLD;SMAD7;DKK1;PBLD;SMAD6;SMAD7
GO:0060396,growth hormone receptor signaling pathway ,Cluster_3,0.002477362,6,LYN;STAT5A;PTPN1;STAT5B;PXN;STAT3;PIK3R1;PTK2;GHR;SOCS2;MAPK1;JAK2;MAPK3;JAK2;PTK2;PTPN1;PXN;SOCS2;STAT3
GO:0060548,negative regulation of cell death ,Cluster_1,0.003240678,18,GSK3B;HTR2B;WISP3;TXNDC12;PARK7;TM7SF3;CLU;FGF2;CYR61;WISP1;MECOM;NUP62;AKT1;ADNP2;TMEM109;VPS35;IKBKG;SOX4;NCK1;BNIP3L;SDIM1;DUS2;IMPACT;PDE12;CHMP4B;CHMP4A;PRKD1;KANK2;BECN1;LRPAP1;VPS4B;GBA;AMIGO2;HTRA2;TANK;NPAS2;AGR2;AGR3;DCPS;SULT1A3;SNCA;ATG5;CHGA;WFS1;BNIP3;BTBD10;BMP7;SORL1;PM20D1;PINK1;PSMC5;CDK5;CHMP2A;CTNNB1;ATP13A2;RAD18;AKT1;BECN1;CDK5;CTNNB1;DCPS;DUS2;HTRA2;IMPACT;KANK2;NUP62;PDE12;PINK1;PSMC5;SOX4;TM7SF3;TXNDC12;VPS35;VPS4B
GO:0060627,regulation of vesicle-mediated transport ,Cluster_3,0.008209639,16,USP6NL;RAB3B;NRP1;RAB3D;STON1;SNX12;STON2;RIMS2;TBC1D30;EVI5L;TBC1D22A;TBC1D10A;TBC1D22B;RAB8A;TBC1D10B;NSF;SLC30A8;MAP2K2;ADPRHL1;TBC1D9;TBC1D2B;BET1L;ARFGAP1;RAB33B;RUFY1;RINT1;ZFYVE16;TBC1D4;RUFY2;BMP2K;CDH13;CHMP3;GAS1;TBC1D28;LLGL1;LLGL2;RAB5B;RAB5C;RABGAP1;CPLX2;CPLX1;RAB40B;INPP5F;RNF139;ABL1;PACSIN2;AP2S1;ABL2;PACSIN3;MAPK1;STXBP5;TBC1D12;EVI5;TBC1D15;MAPK3;UVRAG;PTPN1;RAB4A;SYT1;HIP1R;RSG1;RAB11A;STXBP5L;RAB11B;TBCK;PINK1;RAB15;SNX17;SGSM3;AAK1;AAK1;ABL1;CDH13;CPLX1;EVI5;NRP1;PACSIN2;PTPN1;RAB11B;RABGAP1;STXBP5L;SYT1;TBC1D15;TBC1D22A;TBC1D2B;TBCK
GO:0060828,regulation of canonical Wnt signaling pathway ,Cluster_4,0.004417715,38,JRK;CTNND2;DIXDC1;CCAR2;PSMD8;PSMD9;PSMD7;PSMD4;SOX17;PSMD5;PSMD2;RUVBL2;PSMD3;RUVBL1;PSMD1;BTRC;SOX4;IGFBP1;TLE2;DAPK3;WNT5A;DKK1;DKK2;SHISA6;RBX1;SFRP4;CCNY;DAAM2;TBL1XR1;PSME3;PSME4;PSME1;PSME2;UBA52;NAIP;PSMD10;VCP;PSMD12;PSMD13;TNKS;CUL3;GSKIP;KLHL12;PSEN1;STK4;STK3;UBB;UBC;UBR5;DVL1;DVL2;NPHP3;ANKRD10;DVL3;NPHP4;IGFBP6;ZBED3;TRPM4;WWTR1;SMURF2;WNT3A;CAV1;FZD6;FUZ;MCC;NFKB1;COL1A1;CYLD;BMP2;WNK1;SNAI2;PIN1;CDK14;RNF220;INVS;GSK3B;DRAXIN;GSK3A;WNT2B;DDX3X;CHD8;LRRK1;USP34;ILK;LIMD1;GLI3;RSPO1;EMD;ANKRD6;USP47;KREMEN1;AES;PSMA5;LATS1;PSMA6;PSMA3;PSMA4;LATS2;PSMA1;SDHAF2;PSMA2;PFDN5;RBMS3;LRP5;LRP4;PSMA7;NKD1;PSMB10;PSMA8;NKD2;LRP6;PSMB6;PSMB4;PSMB5;ZNRF3;TNKS2;PSMB3;FRZB;PSMB1;TBL1X;RPS27A;TCF7L2;CSNK1A1;DKKL1;DAB2IP;PSMB8;PPP1CA;MAD2L2;PSMC5;PSMC3;PSMC4;PSMC1;PSMC2;LGR5;FOLR1;AES;DIXDC1;EMD;FUZ;IGFBP6;LATS1;MAD2L2;PFDN5;PPP1CA;PSMA2;PSMA4;PSMA5;PSMA6;PSMA7;PSMA8;PSMB1;PSMB10;PSMB3;PSMB4;PSMB5;PSMB6;PSMB8;PSMC2;PSMC3;PSMC4;PSMD10;PSMD13;PSMD3;PSMD4;PSMD8;PSME1;RBX1;RPS27A;RUVBL2;TLE2;UBA52;UBB;UBC
GO:0061001,regulation of dendritic spine morphogenesis ,Cluster_5,0.001068946,6,EPHA4;NLGN1;BHLHB9;PTEN;SRCIN1;EFNA1;SIPA1L1;RELN;CUX2;CDK5;CAPRIN1;CFL1;SHANK3;CUX2;EFNA1;RELN;SHANK3;SIPA1L1;SRCIN1
GO:0061045,negative regulation of wound healing ,Cluster_8,0.00333434,6,EDN1;SERPINE2;PTEN;CASK;TFPI;FGF2;AJAP1;APOH;CD109;EPPK1;ADTRP;CRK;PHLDB2;ADTRP;CD109;EDN1;EPPK1;FGF2;PTEN
GO:0061097,regulation of protein tyrosine kinase activity ,Cluster_5,0.002804287,7,CSF1R;APP;PTPN1;PRNP;EPHA4;ACE;CAV1;PDGFB;SRCIN1;AGT;EFNA1;RAP2C;GRM5;RELN;RAP2B;SH3BP5L;DLG3;HYAL2;SH3BP5;NCK2;ACE;AGT;EFNA1;PRNP;RELN;SH3BP5;SRCIN1
GO:0061098,positive regulation of protein tyrosine kinase activity ,Cluster_5,0.000598932,7,CSF1R;PTPN1;PRNP;EPHA4;ACE;FBXW7;PDGFB;SRCIN1;AGT;EREG;EFNA1;GRM5;ADAM17;RELN;DLG3;STAP1;ACE;AGT;EFNA1;PRNP;RELN;SRCIN1;STAP1
GO:0061418,regulation of transcription from RNA polymerase II promoter in response to hypoxia ,Cluster_4,1.73E-07,28,UBE2D3;UBE2D1;LIMD1;RBPJ;BACH1;PSMD8;PSMD9;PSMD7;PSMD4;PSMD5;PSMD2;PSMD3;PSMD1;EP300;SIRT2;RBX1;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;PSMA2;PSME3;PSME4;PSME1;PSME2;UBA52;PSMD10;PSMD12;PSMD13;EPAS1;HIGD1A;HIF1A;PSMB10;PSMA7;PSMA8;PSMB6;PSMB4;PSMB5;UBB;PSMB3;UBC;PSMB1;VHL;RPS27A;EGLN1;CREBBP;EGLN3;EGLN2;PSMB8;VEGFA;PSMC5;PSMC3;PSMC4;PSMC1;PSMC2;NFE2L2;PSMA2;PSMA4;PSMA5;PSMA6;PSMA7;PSMA8;PSMB1;PSMB10;PSMB3;PSMB4;PSMB5;PSMB6;PSMB8;PSMC2;PSMC3;PSMC4;PSMD10;PSMD13;PSMD3;PSMD4;PSMD8;PSME1;RBX1;RPS27A;SIRT2;UBA52;UBB;UBC
GO:0061515,myeloid cell development ,Cluster_5,0.005572272,4,MBD4;APP;CSF3;ANXA2;EVI2B;LYAR;ZNF385A;FOXP1;CSF3;EVI2B;FOXP1;ZNF385A
